Sales Rep Assigned,Customer Num,Customer Name,Product Num,Product Name,Brand,Date,Placement Count   2026
Andrew Lundy,250016,Buy Rite Liq (A),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/29/2026,1.00
Chris Payton,46033,Discount Lqr(A) Outlet,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/22/2026,1.00
Chris Payton,79005,Maywood Wine&Liq (A),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/3/2026,1.00
Chris Payton,38007,Garden Liquors (P),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/10/2026,1.00
Chris Payton,76010,Usa Wine Traders Club (Saddle Brook),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/1/2026,1.00
Chris Payton,25045,Clifton Disc Liq (A),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/21/2026,1.00
Dan Lagala,49045,Liquor World,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/14/2026,1.00
Dan Lagala,49019,Bp Gas Station,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/28/2026,1.00
Dan Lagala,43013,Buy Rite Of Fairview,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/1/2026,1.00
Dan Lagala,49027,Linwood Wine-Linwood Plaza,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/28/2026,1.00
Dan Lagala,43006,Fairview Liq & Groc.(A),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/23/2026,1.00
Dan Lagala,49045,Liquor World,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/20/2026,1.00
Dave Ehlers,58001,Total Wine & More (River Edge),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/3/2026,1.00
Dave Ehlers,58001,Total Wine & More (River Edge),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/28/2026,1.00
Dave Ehlers,40010,Hackensack Liquors,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/7/2026,1.00
Dave Ehlers,56013,Time Lounge And Liq (A),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/7/2026,1.00
Dave Ehlers,39012,Wine And Liq Depot(A),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/8/2026,1.00
Dave Ehlers,14007,Total Wine & More (Totowa),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/17/2026,1.00
Derrick Laws,20079,Limestone Liquors (A),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/28/2026,1.00
Derrick Laws,20080,Raphael & Angel Liq (A),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/28/2026,1.00
Derrick Laws,23004,Shop Rite Wines/Spirits,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/29/2026,1.00
Derrick Laws,22022,C Town (A),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/31/2026,1.00
Dylan Rubino,170144,Hudson Wine Co (P),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/8/2026,1.00
Javier Melo,21028,Estevez Liquors & Grocery 2 LLC,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/7/2026,1.00
Javier Melo,27037,Shanik Liqs.(P),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/16/2026,1.00
Javier Melo,21006,Camilo Liquors(A),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/8/2026,1.00
Javier Melo,21023,Luna Liquors,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/10/2026,1.00
Javier Melo,20031,La Joya Liquors,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/10/2026,1.00
Jayson Romine,231215,Mac & Lindy's W & S (A),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/15/2026,1.00
Jayson Romine,230105,ShopRite Wines & Spirits of Sparta,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/9/2026,1.00
Jayson Romine,231315,Woody's Liq Shop (A),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/29/2026,1.00
Jayson Romine,230121,White Deer Inn,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/29/2026,1.00
Jayson Romine,191408,Super Saver Liq,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/30/2026,1.00
Jim Heaney,25017,Savers Club Liquor Locker,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/16/2026,1.00
Jim Heaney,13008,Little Falls Liq(P),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/29/2026,1.00
Jim Heaney,29009,Quick Buy,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/29/2026,1.00
Jim Heaney,28012,Lucky 7 (A),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/29/2026,1.00
Jim Heaney,24017,Rainbow Liquor (P),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/29/2026,1.00
John O'Donoghue,190711,Shop Rite Liquors,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/15/2026,1.00
Klejdi Lamo,190216,House of Wine & Liquor,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/24/2026,1.00
Klejdi Lamo,190917,Shop Rite Liq (A)Wharton,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/27/2026,1.00
Klejdi Lamo,190101,Montville Wine & Spirits,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/22/2026,1.00
Klejdi Lamo,191812,Patel Liqr & Gro(P),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/28/2026,1.00
Klejdi Lamo,191814,Sandy's Wine & Spirit (P) (Budd Lake),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/8/2026,1.00
Matt Powierski,32017,Wine Grand (Carlstadt),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/7/2026,1.00
Matt Powierski,77009,M & M Wine & Spirits,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/6/2026,1.00
Matt Powierski,33002,Moonachie Liquors,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/7/2026,1.00
Matt Powierski,77016,Metro Liquor (Elmwood Park),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/3/2026,1.00
Mike Ast,17010,Frank's Fine Wine & Foods,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/28/2026,1.00
Mike Ast,88005,Waldwick Wine/Spirits,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/30/2026,1.00
Mike Ast,84010,Ridgewood Super Cellar,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/29/2026,1.00
Mike Ast,19008,Hawthorne Liq (A),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/31/2026,1.00
Mike Ast,17011,Nico's Wine & Spirits,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/29/2026,1.00
Pablo Lopez,21032,Carisma Liq & Groc (P),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/16/2026,1.00
Phil Ernst,43001,City Supermarket,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/6/2026,1.00
Phil Ernst,39001,Home Wines & Liq 75 (A) (South Hackensack),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/6/2026,1.00
Phil Ernst,20106,Super Wine Warehse(P)Pate,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/9/2026,1.00
Phil Ernst,83001,Food Universe Marketplace,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/13/2026,1.00
Phil Ernst,83010,Bottle King (A) Glen Rock,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/9/2026,1.00
Phil Ernst,76021,Saddle Brook Liquor & Bar,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/1/2026,1.00
Phil Ernst,83001,Food Universe Marketplace,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/27/2026,1.00
Phil Ernst,46019,Palisades Wine And Liquor,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/7/2026,1.00
Phil Ernst,40019,Budy's Wine & Liq (A),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/8/2026,1.00
Phil Ernst,46019,Palisades Wine And Liquor,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/24/2026,1.00
Shane Barreca,55001,Coasters Liquors,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/7/2026,1.00
Shane Barreca,62001,Garden State Deli (A),10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/9/2026,1.00
Shane Barreca,74005,Winemart Discount,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/7/2026,1.00
Shane Barreca,70001,Montvale Wine/Liq & Beer,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,7/7/2026,1.00
Shane Barreca,67005,Shoprite Liq (A)Northvle,10345,Sapporo Light 2/12/12 oz Can,Sapporo Light,6/30/2026,1.00
