Sales Rep Assigned,Product Num,Product Name,Customer Num,Customer Name,Placement Count   8/1/2026 - 8/31/2026,Cases   8/1/2026 - 8/31/2026
Anthony Palmisano,2449,Corona Premier 1/24/12 oz Loose Can,230915,Crystal Sprs/Wild Turkey,1.00,6.00
Chris Payton,2449,Corona Premier 1/24/12 oz Loose Can,79007,Maywood Market(A),1.00,1.00
Chris Payton,2449,Corona Premier 1/24/12 oz Loose Can,46033,Discount Lqr(A) Outlet,1.00,1.00
Chris Payton,2449,Corona Premier 1/24/12 oz Loose Can,25045,Clifton Disc Liq (A),1.00,1.00
Chris Payton,2449,Corona Premier 1/24/12 oz Loose Can,38021,Buy Rite Of Main St Lodi,1.00,1.00
Dan Lagala,2449,Corona Premier 1/24/12 oz Loose Can,46011,Han Mi Supermkt (A),1.00,1.00
Dan Lagala,2449,Corona Premier 1/24/12 oz Loose Can,46012,Jay Cee (P) Deli & Liq.,1.00,1.00
Dan Lagala,2449,Corona Premier 1/24/12 oz Loose Can,45004,Ridgefield Liq (Z),1.00,1.00
Dan Lagala,2449,Corona Premier 1/24/12 oz Loose Can,43007,American Classic Liq,1.00,1.00
Dave Ehlers,2449,Corona Premier 1/24/12 oz Loose Can,58001,Total Wine & More (River Edge),1.00,12.00
Dave Ehlers,2449,Corona Premier 1/24/12 oz Loose Can,14007,Total Wine & More (Totowa),1.00,5.00
Javier Melo,2449,Corona Premier 1/24/12 oz Loose Can,20031,La Joya Liquors,1.00,1.00
Javier Melo,2449,Corona Premier 1/24/12 oz Loose Can,27002,President Liqrs (A),1.00,1.00
Javier Melo,2449,Corona Premier 1/24/12 oz Loose Can,22024,Edwards (P) Wine & Liq,1.00,1.00
Javier Melo,2449,Corona Premier 1/24/12 oz Loose Can,20056,East Side Bar Liquors,1.00,1.00
Javier Melo,2449,Corona Premier 1/24/12 oz Loose Can,27071,Mariana's Liquors,1.00,1.00
Jayson Romine,2449,Corona Premier 1/24/12 oz Loose Can,231316,Patricks Wine Barn,1.00,3.00
Jim Heaney,2449,Corona Premier 1/24/12 oz Loose Can,29011,World of Wine & Liquor,1.00,3.00
John Neukum,2449,Corona Premier 1/24/12 oz Loose Can,31019,Bj's Warehouse E Rutherfo,1.00,84.00
Matt Powierski,2449,Corona Premier 1/24/12 oz Loose Can,32017,Wine Grand (Carlstadt),1.00,1.00
Matt Powierski,2449,Corona Premier 1/24/12 oz Loose Can,31008,Metro Wine And Liq(A),1.00,10.00
Matt Powierski,2449,Corona Premier 1/24/12 oz Loose Can,36007,Shop Rite Of Wallington,1.00,1.00
Matt Powierski,2449,Corona Premier 1/24/12 oz Loose Can,32016,Cobblestone Hill Deli,1.00,2.00
Matt Powierski,2449,Corona Premier 1/24/12 oz Loose Can,77009,M & M Wine & Spirits,1.00,1.00
Matt Powierski,2449,Corona Premier 1/24/12 oz Loose Can,37002,Garfield Bar & Liq (P),1.00,1.00
Matt Powierski,2449,Corona Premier 1/24/12 oz Loose Can,77016,Metro Liquor (Elmwood Park),1.00,1.00
Phil Ernst,2449,Corona Premier 1/24/12 oz Loose Can,38018,THE BOTTLE SHOP,1.00,1.00
Phil Ernst,2449,Corona Premier 1/24/12 oz Loose Can,46019,Palisades Wine And Liquor,1.00,-1.00
Phil Ernst,2449,Corona Premier 1/24/12 oz Loose Can,50003,"Agave Liquor, Wine & Spirits",1.00,2.00
Shane Barreca,2449,Corona Premier 1/24/12 oz Loose Can,67004,Beverage Barn (A),1.00,3.00
Shane Barreca,2449,Corona Premier 1/24/12 oz Loose Can,74005,Winemart Discount,1.00,1.00
Shane Barreca,2449,Corona Premier 1/24/12 oz Loose Can,62001,Garden State Deli (A),1.00,1.00
Shane Barreca,2449,Corona Premier 1/24/12 oz Loose Can,67005,Shoprite Liq (A)Northvle,1.00,10.00
