Sales Rep Assigned,Customer Num,Customer Name,Product Num,Product Name,Brand Family,Date,Placement Count   2026
Alisa Acciardi,152039,Cottage Liquors,3731,Famosa 4/6/7 oz Btl,Famosa,7/17/2026,1.00
Alisa Acciardi,170101,High Spirits Of Bayonne,3731,Famosa 4/6/7 oz Btl,Famosa,7/8/2026,1.00
Andrew Lundy,250183,Chestnut St Spirits LLC,3731,Famosa 4/6/7 oz Btl,Famosa,7/17/2026,1.00
Andrew Lundy,250024,Best Cellars (Summit),3731,Famosa 4/6/7 oz Btl,Famosa,7/16/2026,1.00
Dylan Rubino,17027,FOOD BAZAAR,3731,Famosa 4/6/7 oz Btl,Famosa,7/10/2026,1.00
Dylan Rubino,178005,Best Liquors & Deli,3731,Famosa 4/6/7 oz Btl,Famosa,7/10/2026,1.00
Dylan Rubino,170023,Corks & Bottles (P),3731,Famosa 4/6/7 oz Btl,Famosa,7/8/2026,1.00
Javier Melo,20021,Diamond Liquors (P),3731,Famosa 4/6/7 oz Btl,Famosa,7/16/2026,1.00
Javier Melo,21044,Farm Boy,3731,Famosa 4/6/7 oz Btl,Famosa,7/7/2026,1.00
Javier Melo,21023,Luna Liquors,3731,Famosa 4/6/7 oz Btl,Famosa,7/10/2026,1.00
Pablo Lopez,27072,Passaic Discount Liquors,3731,Famosa 4/6/7 oz Btl,Famosa,7/15/2026,1.00
Pablo Lopez,21024,Altiero Liquors,3731,Famosa 4/6/7 oz Btl,Famosa,7/15/2026,1.00
Phil Ernst,20106,Super Wine Warehse(P)Pate,3731,Famosa 4/6/7 oz Btl,Famosa,7/16/2026,1.00
