Sales Rep Assigned,Customer Num,Customer Name,Product Num,Product Name,Product Type,Package,Brand Family,Date,Buyer Count   8/1/2026 - 8/31/2026,Placement Count   8/1/2026 - 8/31/2026,Case Equivalents   8/1/2026 - 8/31/2026
Alex Rodriguez,150012,Kings Super Markets,9125,1911 Cider Donut 6/4/16 oz Can,Case Cider,6/4/16oz Can,1911 Hard Cider,8/7/2026,1.00,1.00,2.67
Alisa Acciardi,170101,High Spirits Of Bayonne,5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/7/2026,1.00,1.00,3.00
Alisa Acciardi,170101,High Spirits Of Bayonne,11236,Flying Dog The Fear 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Flying Dog Brewing Co,8/7/2026,1.00,1.00,1.00
Alisa Acciardi,150052,Bottle King Glen Ridge,9161,1911 Haunted Hayride 6/4/16 oz Can,Case Cider,6/4/16oz Can,1911 Hard Cider,8/5/2026,1.00,1.00,1.33
Alisa Acciardi,170101,High Spirits Of Bayonne,11682,Southern Tier Pumqueen 6/4/16 oz Can,Case Beer,6/4/16oz Can,Southern Tier,8/7/2026,1.00,1.00,2.67
Andrew Lundy,250027,Wine Anthology (A),9161,1911 Haunted Hayride 6/4/16 oz Can,Case Cider,6/4/16oz Can,1911 Hard Cider,8/5/2026,1.00,1.00,2.67
Andrew Lundy,250048,Park Beverage,11236,Flying Dog The Fear 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Flying Dog Brewing Co,8/5/2026,1.00,1.00,3.00
Andrew Lundy,250139,Providence Liquors,5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/10/2026,1.00,1.00,5.00
Andrew Lundy,150133,The Wine Rack Millburn,9125,1911 Cider Donut 6/4/16 oz Can,Case Cider,6/4/16oz Can,1911 Hard Cider,8/7/2026,1.00,1.00,1.33
Andrew Lundy,250071,Total Wine & More (Union),5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/7/2026,1.00,1.00,1.00
